Label,Dist CenterA-CenterB,Dist min EdgeA-EdgeB,Dist min CenterA-EdgeB,Dist min EdgeA-CenterB
ObjA268_ObjB25,89.522,74.943,84.687,79.381
ObjA269_ObjB25,74.477,66.080,69.595,70.907
ObjA270_ObjB7,36.869,22.338,35.339,23.093
ObjA271_ObjB5,67.602,60.389,63.663,64.344
ObjA272_ObjB15,45.722,40.363,43.355,42.709
ObjA273_ObjB10,48.286,40.899,43.351,45.692
ObjA274_ObjB15,51.397,45.154,48.351,48.191
ObjA275_ObjB1,64.337,15.274,19.050,57.317
ObjA276_ObjB46,80.915,74.371,78.419,76.846
ObjA277_ObjB1,48.277,2.676,5.582,46.143
ObjA278_ObjB35,29.658,23.433,24.124,29.023
ObjA279_ObjB35,24.295,14.554,18.623,20.491
ObjA280_ObjB35,27.392,17.866,20.231,24.411
ObjA281_ObjB45,31.760,0.000,1.378,28.665
ObjA282_ObjB45,66.421,0.000,2.079,63.104
ObjA283_ObjB45,42.444,0.000,1.367,40.401
ObjA284_ObjB24,82.909,75.675,80.430,78.065
ObjA285_ObjB43,42.773,39.541,41.523,40.852
ObjA286_ObjB2,55.955,34.613,54.522,36.738
ObjA287_ObjB38,19.373,14.335,17.069,16.632
ObjA288_ObjB39,30.394,26.700,29.124,28.178
ObjA289_ObjB39,38.221,34.221,36.210,36.185
ObjA290_ObjB6,41.635,19.075,24.981,35.774
ObjA291_ObjB1,45.049,6.649,8.958,43.656
ObjA292_ObjB9,45.170,36.920,41.884,40.270
ObjA293_ObjB35,42.097,36.275,38.066,40.443
ObjA294_ObjB41,37.095,32.035,34.070,35.137
ObjA295_ObjB35,22.149,14.306,16.744,19.598
ObjA296_ObjB26,34.056,27.896,29.874,32.072
ObjA297_ObjB21,116.771,109.729,115.348,111.124
ObjA298_ObjB45,51.354,4.769,8.906,47.661
ObjA299_ObjB21,73.838,70.746,71.928,72.654
ObjA300_ObjB2,38.337,33.701,35.682,36.217
ObjA301_ObjB39,36.083,32.530,34.234,34.402
ObjA302_ObjB29,48.398,35.107,46.047,37.608
ObjA303_ObjB6,68.346,11.965,15.370,64.303
ObjA304_ObjB25,92.500,86.158,86.906,91.749
ObjA305_ObjB29,32.618,29.431,31.049,30.711
ObjA306_ObjB7,50.240,45.224,49.405,45.977
ObjA307_ObjB1,67.191,17.713,19.028,66.359
ObjA308_ObjB46,52.658,48.430,50.093,50.971
ObjA309_ObjB35,51.092,44.676,47.653,48.122
ObjA310_ObjB13,34.727,29.694,31.660,32.795
ObjA311_ObjB33,19.617,11.031,12.130,18.733
ObjA312_ObjB21,36.417,33.843,34.706,35.600
ObjA313_ObjB21,55.424,50.268,53.581,52.090
ObjA314_ObjB37,3.085,0.000,1.635,3.584
ObjA315_ObjB6,50.415,15.962,18.375,47.915
ObjA316_ObjB6,43.399,0.000,9.617,33.530
ObjA317_ObjB29,44.665,36.391,42.258,38.770
ObjA318_ObjB6,36.041,8.945,11.278,33.220
ObjA319_ObjB29,51.283,46.803,49.038,48.993
ObjA320_ObjB35,35.945,30.082,31.814,33.704
ObjA321_ObjB26,46.428,38.510,42.828,42.266
ObjA322_ObjB24,101.426,75.447,99.762,77.258
ObjA323_ObjB6,59.292,12.018,17.966,53.270
ObjA324_ObjB43,52.026,47.076,48.514,50.617
ObjA325_ObjB6,69.658,13.948,15.692,67.886
ObjA326_ObjB6,46.994,17.509,23.146,43.417
ObjA327_ObjB6,49.658,13.948,14.832,48.092
ObjA328_ObjB7,50.546,46.164,48.725,47.690
ObjA329_ObjB41,61.613,53.865,55.954,59.494
ObjA330_ObjB24,57.105,53.558,54.830,55.843
ObjA331_ObjB29,24.956,20.376,22.885,22.272
